# Rescue verdicts: papers fermlit's first rubric EXCLUDED (or left borderline), re-screened
# under the second rubric in MTDNA_RUBRIC.md -- "does this paper help someone engineer the
# yeast mitochondrion or its genome?" -- extended to cover the Ehrlich/BCAA payload,
# compartment-specific cofactor measurement, protein targeting, genetic-code and codon
# engineering, and yeast genome-engineering methods that transfer.
#
# ONLY RESCUES ARE LISTED. A paper the second rubric also excluded stays excluded and has no
# row here; the file's job is to name what the first question threw away. Every row is a
# CHANGE from that paper's first-rubric verdict.
#
# The organism clause is deliberately opposite to the first rubric's instinct: a mammalian or
# plant mtDNA paper is included when the METHOD transfers, because those are often the only
# published record of a technique.
#
# Re-screened: 2834 fermdb publications. Rescued to include: 709. To borderline: 549.
# Still excluded: 1533.
#
# TWO MODELS screened this corpus, and `decided_by` says per row which one decided that row.
# The run began on qwen3.6:27b -- the same local model that produced every first-rubric
# verdict -- and was stopped part-way when the GPU was needed elsewhere; the remainder ran on
# claude-sonnet-5 through the Claude Agent SDK. qwen rows: 348. sonnet rows: 910.
# The rubric, the two-pass structure and the 20-85 escalation band are identical across both
# halves; only the backend differs. Read `decided_by` before treating the file as homogeneous.
#
# Two passes, fermlit's own: title score, then abstract for the band (20-85).
# NOT INSTALLED -- installing is a curator act.
publication_id	decision	reason	source	decided_by	decided_by_kind	decided_at	in_atlas	pdf_file
doi:10.1002/(sici)1097-0061(19960315)12:3%3c247::aid-yea911%3e3.0.co;2-i	include	Pyruvate decarboxylase is the Pdc-family 2-keto-acid decarboxylase enzyme of the Ehrlich pathway, which counts regardless of alcohol titer reporting.	fermlit screen, mtDNA rubric v1 (abstract pass, no abstract available)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/(sici)1097-0061(199605)12:6<577::aid-yea950>3.0.co;2-2	include	Gene essential for respiration and mitochondrial genome integrity — directly relevant to mtDNA maintenance and respiratory competence assays.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/(sici)1097-0061(19960930)12:12<1239::aid-yea17>3.0.co;2-8	include	Suppressor of abf2 (HMG-box nucleoid protein) mutant — Abf2/nucleoid biology is explicitly named in the mtDNA maintenance criteria.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/(sici)1097-0061(19980115)14:1<77::aid-yea201>3.0.co;2-p	include	RPM2 encodes the protein subunit of S. cerevisiae mitochondrial RNase P responsible for 5' maturation of mitochondrial tRNAs, directly informing the mitochondrial tRNA-processing machinery relevant to engineering mitochondrial translation.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/(sici)1097-0061(19980130)14:2<189::aid-yea210>3.0.co;2-v	include	Characterizes a mitochondrial-lineage BCAA aminotransferase (BCAT/eca39) and proposes BCAT genes as yeast transformation selection markers, directly matching the BCAA/Ehrlich enzymology and marker-toolkit inclusion criteria.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/(sici)1097-0061(19980315)14:4<347::aid-yea226>3.0.co;2-9	include	Glycerol-3-phosphate shuttle during aerobic growth in S. cerevisiae is a canonical NADH shuttle between cytosol and mitochondria, directly matching the redox/cofactor-shuttle criterion.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/(sici)1097-0061(199808)14:11<1001::aid-yea304>3.0.co;2-k	borderline	Cloning and characterizing a nuclear gene (SDH1/SDH1b) for mitochondrial succinate dehydrogenase via complementation of a respiratory-defective mutant is real mitochondrial/respiratory-chain biology and standard yeast library-complementation/lacZ-reporter methodology, but it is not itself an mtDNA-t	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/(sici)1097-0061(19990130)15:2<139::aid-yea347>3.0.co;2-5	include	Involves a mitoribosomal protein with an N-terminal mitochondrial targeting sequence whose overexpression increases petite mutant frequency, linking mitoribosome function and petite/rho- assay methodology directly usable in yeast mitochondrial engineering.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/1097-0061(200011)16:15<1421::aid-yea624>3.0.co;2-u	include	Describes mitochondria-targeted GFP tools using mitochondrial targeting sequences in yeast, a reusable targeting-tag method for organelle engineering.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/1097-0061(20010130)18:2<173::aid-yea663>3.0.co;2-f	include	Demonstrates transfer of S. cerevisiae-style gene-deletion cassettes, dominant selectable markers and homologous-recombination targeting to a near-relative yeast (Z. bailii), a genome-engineering toolkit method even though the deleted gene itself is nuclear.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/1097-0061(200102)18:3<219::aid-yea651>3.0.co;2-c	include	Reintroducing a characterized tRNA-Gly mutation into yeast mitochondria is mtDNA transformation/mutant construction used as a disease model tool -- directly a method for manipulating the mitochondrial genome.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/1873-3468.13440	borderline	The paper is a minireview on mtDNA stability and ribonucleotide incorporation, which relates to mtDNA state but does not report a specific engineering method or assay.	fermlit screen, mtDNA rubric v1 (abstract pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1002/1873-3468.14546	borderline	This is a review of mitochondrial ferredoxin biology and electron transfer functions (Fe/S biogenesis, steroid transformation) without reporting specific engineering methods, assays, or tools for manipulating the yeast mitochondrion.	fermlit screen, mtDNA rubric v1 (abstract pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1002/bies.201100050	borderline	Discusses mtDNA loss and rho0-like cells in relation to yeast replicative aging/lifespan, not an engineering method or assay protocol.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/biot.202300324	include	Reports mitochondrial compartmentalized expression of heterologous terpenoid synthase genes in S. cerevisiae, directly demonstrating pathway relocalisation into the mitochondrion.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/bit.27560	include	Overexpression of POS5Δ17 (NADH kinase lacking its mitochondrial targeting sequence, redirected to cytosol) to rebalance NADH/NADPH is a compartment-specific redox-cofactor engineering method explicitly named in the criteria.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/cbin.11219	borderline	The paper investigates mitochondrial morphology and genome stability via Pcp1p mutants, which falls under adjacent mitochondrial biology (chassis characterization) rather than providing a direct engineering method or tool.	fermlit screen, mtDNA rubric v1 (abstract pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1002/iub.2769	include	Reports biolistic transformation of yeast mitochondrial DNA, a direct method for getting DNA into mitochondria.	fermlit screen, mtDNA rubric v1 (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1002/iub.2770	borderline	The paper is a review of yeast Mip1 (Pol γ) biochemistry and its use as a model for human disease, which falls under mitochondrial biology with an indirect handle on mtDNA maintenance rather than reporting a direct engineering method.	fermlit screen, mtDNA rubric v1 (abstract pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1002/j.1460-2075.1982.tb01204.x	include	Reports on mitochondrial genome instability in yeast, directly addressing mtDNA state and maintenance mechanisms relevant to engineering targets.	fermlit screen, mtDNA rubric v1 (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1002/j.1460-2075.1982.tb01234.x	include	Reports on mitochondrial DNA origins of replication and petite mutants in yeast, directly addressing mtDNA state and maintenance.	fermlit screen, mtDNA rubric v1 (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1002/j.1460-2075.1982.tb01282.x	include	The paper characterizes mitochondrial replication origins and transcription initiation sequences in yeast petite mutants, providing essential mechanistic data on mtDNA state and maintenance relevant to engineering the mitochondrial genome.	fermlit screen, mtDNA rubric v1 (abstract pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1002/j.1460-2075.1983.tb01655.x	borderline	Studies coordination of nuclear-encoded Complex III (11-kd) subunit synthesis with gene copy number, informative about respiratory-chain assembly biology but not itself a mitochondrial engineering, delivery, or assay method.	fermlit screen, mtDNA rubric v1 (abstract pass, no abstract available)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/j.1460-2075.1983.tb01717.x	include	Characterizes mitochondrial protein import machinery and targeting signals, directly relevant to engineering heterologous enzyme localization.	fermlit screen, mtDNA rubric v1 (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1002/j.1460-2075.1984.tb01982.x	include	Transcription and processing of clustered mitochondrial tRNA genes directly concerns yeast mtDNA gene expression and tRNA biogenesis relevant to the mitochondrial genetic system.	fermlit screen, mtDNA rubric v1 (abstract pass, no abstract available)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/j.1460-2075.1984.tb02099.x	include	Studies initiation of mtDNA replication in yeast, directly relevant to mitochondrial genome maintenance/copy number control.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/j.1460-2075.1985.tb04076.x	borderline	The paper characterizes the nuclear gene and regulation of a mitochondrial protein (cytochrome b2) but does not report a method for engineering the mitochondrion or its genome, nor does it provide a novel tool for protein import or compartmentalization.	fermlit screen, mtDNA rubric v1 (abstract pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1002/j.1460-2075.1985.tb04078.x	include	The paper characterizes mitochondrial intron splicing mechanisms and revertant phenotypes in yeast, providing essential mechanistic insight into mtDNA processing required for engineering the mitochondrial genome.	fermlit screen, mtDNA rubric v1 (abstract pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1002/j.1460-2075.1985.tb04110.x	include	Defines a mitochondrial targeting presequence (first 12 aa) directing a nuclear-coded COX subunit to the inner membrane — exactly the targeting-sequence knowledge needed for matrix/membrane targeting of heterologous proteins.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/j.1460-2075.1985.tb04112.x	include	Reports on mitochondrial DNA recombination mechanisms in yeast, directly relevant to mtDNA maintenance and inheritance.	fermlit screen, mtDNA rubric v1 (title pass)	qwen3.6:27b	model	2026-09-22	yes	10.1002_j.1460-2075.1985.tb04112.x.pdf
doi:10.1002/j.1460-2075.1986.tb04361.x	include	Reports on the processing of mitochondrial pre-sequences and identifies a nuclear gene controlling this import machinery in yeast.	fermlit screen, mtDNA rubric v1 (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1002/j.1460-2075.1986.tb04694.x	include	Studies how mitochondrial presequence targeting efficiency depends on the passenger protein — core protein import/targeting sequence data directly usable for engineering heterologous matrix targeting.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/j.1460-2075.1987.tb02767.x	include	Preferential recombination between GC clusters in yeast mtDNA — direct mechanistic study of mtDNA recombination relevant to genome engineering/stability.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/j.1460-2075.1988.tb03192.x	borderline	The paper characterizes the biochemical mechanism of mitochondrial transcription initiation in yeast, which is fundamental biology but does not report an engineering method or tool for manipulating the mitochondrial genome.	fermlit screen, mtDNA rubric v1 (abstract pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1002/j.1460-2075.1989.tb08569.x	include	The paper characterizes PET54's role in mitochondrial mRNA splicing and translation, which are critical mechanisms for expressing heterologous genes or engineered constructs within the yeast mitochondrion.	fermlit screen, mtDNA rubric v1 (abstract pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1002/j.1460-2075.1990.tb07636.x	include	Reports a protein binding to yeast mitochondrial mRNA UTRs, directly addressing translational activators and mRNA stability in the target organism.	fermlit screen, mtDNA rubric v1 (title pass)	qwen3.6:27b	model	2026-09-22	yes	10.1002_j.1460-2075.1990.tb07636.x.pdf
