# 2026-09-22-classifier-verdicts.tsv -- fermlit classifier verdicts on the fermdb
# publications that the classifier had not previously screened.
#
# NOT INSTALLED. Installing is a curator act (PLAN.md L.5); this file is a proposal.
# Every row is decided_by_kind=model: a title/abstract score, never a read PDF.
# install_decisions() will refuse to let any of these overwrite a human verdict.
#
# rows                : 1606
# verdict split       : include 442, borderline 198, exclude 966
# settled by          : title pass 1185, abstract pass 421
# thresholds          : --low 25 --high 82 (fermlit defaults, unchanged)
#
# Provenance of the two groups, which differ in WHEN they were screened, not how:
#    1308  newly screened in this run (fermlit sheet 'fermdb-import-2026-09-22')
#     298  already held by fermlit under a `_nodoi:<pmid>` key and screened
#          in the earlier corpus run. They looked unseen because the overlap was
#          computed on DOI alone and these fermdb rows are `pmid:` CURIEs with a
#          NULL doi. Same model, same rubric; their verdicts are reused, not rerun.
#
publication_id	decision	reason	source	decided_by	decided_by_kind	decided_at	in_atlas	pdf_file
doi:10.3390/foods15173034	exclude	Study focuses on volatile dynamics in table olives rather than microbial production of ethanol or butanol	fermlit screen --pass both (qwen3.6:27b)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.3390/foods15173004	exclude	Focuses on sensory quality and flavor compounds in distilled spirits rather than microbial production or engineering of alcohols	fermlit screen --pass both (qwen3.6:27b)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.3390/foods15162809	exclude	Study focuses on fruit quality of sweet cherries, unrelated to microbial alcohol production or engineering.	fermlit screen --pass both (qwen3.6:27b)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1093/femsle/fnag096	exclude	Subject is symbiotic fungi and monoterpenes in entomology, with no link to alcohol production or engineering	fermlit screen --pass both (qwen3.6:27b)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.3389/fbioe.2026.1879695	exclude	Title specifies in vitro enzyme immobilization without mention of a microbial host or alcohol production	fermlit screen --pass both (qwen3.6:27b)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1093/nar/gkag775	include	The paper describes a genome editing platform used to engineer E. coli for increased isobutanol production and enhanced ethanol utilization.	fermlit screen --pass both (qwen3.6:27b)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1002/cssc.70914	exclude	Title describes synthetic nanomachines and continuous flow chemistry rather than microbial production or engineering.	fermlit screen --pass both (qwen3.6:27b)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1016/j.jbc.2026.113228	include	Study of isobutanol-mediated growth inhibition mechanism in a production host	fermlit screen --pass both (qwen3.6:27b)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1016/j.btre.2026.e00959	include	Title explicitly describes developing a Saccharomyces cerevisiae strain for isobutanol production.	fermlit screen --pass both (qwen3.6:27b)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1155/ijfo/3378651	exclude	Focuses on sensory quality and aroma profiling of blended wine rather than microbial production or engineering	fermlit screen --pass both (qwen3.6:27b)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1016/j.fochx.2026.103789	exclude	Focuses on analytical characterization of wine metabolites rather than alcohol production engineering	fermlit screen --pass both (qwen3.6:27b)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.3390/molecules31060937	exclude	The paper focuses on food quality and volatile profiling of fermented rice rather than microbial production engineering or titers/yields of alcohols as biofuels.	fermlit screen --pass both (qwen3.6:27b)	qwen3.6:27b	model	2026-09-22	yes	
