# Rescue verdicts, BATCH 2: the last mitochondrial-family papers still decided only by
# fermlit's FIRST rubric. Scope is the 452 publications in fermlit's `fermdb-import%` sheets
# carrying one of mtdna_methods_yeast / mtdna_engineering_yeast / ethanol_mitochondria_yeast /
# isobutanol_mitochondria in screening_record.family, which that first rubric EXCLUDED (400)
# or left BORDERLINE (52). Re-screened under the second rubric in MTDNA_RUBRIC.md -- "does
# this paper help someone engineer the yeast mitochondrion or its genome?" -- byte-identical
# to the rubric the 1258 rescues in 2026-09-22-mtdna-rescue-verdicts.tsv were decided under,
# so the two sets compose.
#
# ONLY RESCUES ARE LISTED, and every row is a CHANGE from that paper's first-rubric verdict.
# A paper the second rubric also excluded stays excluded and has no row; a paper that was
# borderline and is still borderline is not a change and has no row either. There is
# deliberately NO `exclude` row in this file: it installs on top of the first pass, and an
# exclude row would overwrite a first-rubric inclusion and inverts the union rule that
# screening.py's module docstring sets out.
#
# The organism clause is deliberately opposite to the first rubric's instinct: a mammalian or
# plant mtDNA paper is included when the METHOD transfers, because those are often the only
# published record of a technique.
#
# Re-screened: 452 fermdb publications, all mitochondrial-family. Rescued to include:
# 134. To borderline: 87. Still excluded: 221. Failed: 0.
#
# ONE MODEL, claude-sonnet-5 through the Claude Agent SDK on the subscription credential.
# Two passes, fermlit's own: title score, then abstract for the 20-85 band. The title pass ran
# 15 papers per call (31 batches, 0 malformed); the abstract pass ran one paper per call
# deliberately, to keep the per-item judgement this file exists to buy.
#
# 17 of the 452 had no retrievable abstract; those rows say so in `source`.
# Joined to the atlas on DOI *and* PMID via screening.publication_keys(). 0 unmapped.
# NOT INSTALLED -- installing is a curator act.
publication_id	decision	reason	source	decided_by	decided_by_kind	decided_at	in_atlas	pdf_file
doi:10.1002/cfg.72	borderline	This is primarily a descriptive mtDNA genome sequencing/annotation paper for a non-Saccharomyces yeast, though it notes a genetic-code-relevant finding (no tRNA for CGN codons) without any engineering application.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/jez.2274	borderline	Studies AOX effects on Drosophila nutrition/development physiology, not a delivery, genome-engineering or compartment-targeting method transferable to yeast mitochondria.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/pro.70493	include	Review of mitochondrial IMS protein sorting, folding-state monitoring and retrotranslocation directly informs targeting/import machinery relevant to engineering heterologous protein delivery into yeast mitochondria.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1002/yea.4001	include	Cytoduction is explicitly listed as a relevant method for mtDNA/cytoplasmic transfer in yeast libraries.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1007/bf00259684	borderline	Concerns mitochondrial mutations affecting translational frameshift suppression, likely touching mitoribosome/tRNA fidelity, but title alone leaves mechanism and engineering relevance unclear.	fermlit screen, mtDNA rubric v1 (abstract pass, no abstract available)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1007/s00439-015-1578-x	include	Yeast Mip1 (pol gamma) modeling of mtDNA replication fidelity, mtDNA depletion and genome stability directly provides the assay/mechanism for mtDNA maintenance work despite the disease-genetics framing.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1007/s13205-011-0008-6	borderline	Uses a mitochondrial targeting sequence to allotopically direct T-urf13 into mitochondria, a protein-import method, but the paper's focus is plant male-sterility breeding rather than characterizing the targeting/import mechanism itself.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1016/bs.mie.2024.07.028	include	Split-GFP method for monitoring dual mitochondrial localization is exactly the kind of submitochondrial-localization assay the project needs.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1016/j.bbabio.2008.11.001	include	Directly develops a genetic approach for mitochondrial DNA import competence, core to getting DNA into mitochondria.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1016/j.bbabio.2018.05.018	borderline	Biophysical FTIR characterization of cytochrome c oxidase redox/ligand chemistry is respiratory-chain bioenergetics with no engineering method or manipulable genetic handle.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1016/j.crmicr.2026.100653	borderline	Describes stress-induced mitochondrial and organelle morphology changes (fragmentation) using fluorescent markers, an indirect chassis observation rather than a manipulable engineering method or measurement of genome/import/cofactor parts.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1016/j.gendis.2019.08.001	include	Reviews allotopic expression strategy for mitochondrial genes, a named relevant technique for getting mitochondrial gene products expressed from outside the organelle.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1016/j.jbc.2021.100869	include	Characterizes PPR translational activators and mitoribosome assembly/initiation in a fungal mitochondrion, directly transferable to understanding/engineering mitochondrial translation machinery in yeast.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1016/j.jbc.2023.104797	borderline	Identifies S. pombe mitochondrial proteins needed for CoQ10/electron-transport-chain biosynthesis, informative about respiratory chassis biology but not itself a genome-engineering or import/delivery method.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1016/j.jbc.2024.107519	include	Direct study of yeast mitoribosomal protein mL44 affecting mitotranslation and transcript preference, core mitoribosome/translation machinery relevant to engineering mitochondrial gene expression.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1016/j.jbc.2026.113126	include	Structural/mutational dissection of an outer mitochondrial membrane insertase (pATOM36) that the authors explicitly relate to homologous yeast and human outer-membrane insertases, informing TOM/OXA-like import machinery biogenesis.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1016/j.mec.2018.e00085	include	Swapping N-/C-terminal targeting sequences to redirect Eeb1 from mitochondria to lipid droplets is a protein-targeting/compartmentalisation method directly transferable to engineering enzyme localization to/from mitochondria.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1016/j.mec.2024.e00245	include	Directly tests NADPH supply strategies including cytosolic expression of mitochondrial NADH kinase Pos5, a named compartment-specific cofactor engineering handle.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1016/j.omtn.2018.04.010	borderline	Title suggests a yeast Huntington's disease model with RNA aptamer rescue of mitochondrial dysfunction, which is disease-model biology rather than a clear mitochondrial genome/protein-import engineering method, and no abstract is available to confirm any transferable technique.	fermlit screen, mtDNA rubric v1 (abstract pass, no abstract available)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1016/j.redox.2018.101079	borderline	Studies Sco protein role in mitochondrial oxidative stress defense/COX assembly via genomic integration of heterologous homologs, but is mitochondrial redox biology with only an indirect engineering handle rather than a transferable method or part.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1016/j.synbio.2022.12.007	borderline	Nuclear gene knockouts (MKS1, HXK2) relieve glucose repression and boost respiratory capacity/retrograde signaling, informative about the mitochondrial chassis but not itself a mitochondrial genome/import engineering method.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1016/j.xgen.2023.100418	borderline	Reports Sc2.0 synthetic nuclear chromosome/CRISPR debugging and loxPsym recombination toolkit (a yeast genome-engineering method), but mitochondrial health is only mentioned as a bug-related phenotype, not an engineering target itself.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1016/j.xpro.2022.101359	include	Protocol for incorporating reporter genes directly into mitochondrial DNA in budding yeast — a core mtDNA engineering method (biolistic transformation/knock-in) this project directly needs.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1021/acssynbio.6b00371	include	Reports assembly of a heterologous multi-subunit enzyme complex (nitrogenase NifDK) inside S. cerevisiae mitochondria—direct evidence of allotopic expression/import engineering capability.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1038/s41467-022-33168-1	borderline	Fungal (Cryptococcus) transcription factor regulating mtROS/respiratory gene expression is an indirect chassis-biology finding, not a mitochondrial engineering method or measurable handle.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1038/s41586-022-05621-0	include	Structural/mechanistic study of yeast (and human) mitoribosomal small subunit assembly directly informs mitoribosome biogenesis, a listed translation-machinery topic relevant to engineering mitochondrial gene expression.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1038/s41598-017-00632-8	include	Directly examines yeast nucleoid proteins Abf2 and Mgm101 (mtDNA maintenance) and their regulation by Lon protease, matching the nucleoid/mtDNA maintenance criterion.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1038/s41598-019-41699-9	include	Studies the mitochondrial recombinase Mhr1 and prevention of mtDNA genomic instability, directly relevant to mtDNA maintenance/recombination mechanisms engineers rely on.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1038/s41598-020-68725-5	borderline	Studies drug-induced mitochondrial bioenergetic inhibition and glycolytic response in yeast without any engineering method, genome manipulation, or compartment-specific molecular tool.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1038/s41598-020-79577-4	borderline	GEM/dFBA modeling and AOX-inhibitor manipulation of respiration/ROS in Y. lipolytica for citrate flux is chassis bioenergetics with an indirect handle, not a mitochondrial genome-engineering method or targeted cofactor/compartment measurement.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1038/s41598-023-36637-9	include	Introduces disease-equivalent point mutations into yeast mtDNA-encoded ATP synthase subunit genes and measures respiratory/biochemical function in yeast mitochondria, directly using yeast mitochondrial genome manipulation and mito_assay methodology.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1038/s41598-024-82104-4	include	PCNA/Rnh1 protecting the yeast mitochondrial genome from UV mutagenesis is direct mtDNA repair/maintenance biology relevant to genome engineering fidelity.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1038/s41598-025-23888-x	include	Directly studies inheritance/segregation of wild-type mtDNA in S. cerevisiae, core to heteroplasmy and mtDNA inheritance mechanisms relevant to mitochondrial genome engineering.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1038/s42255-026-01454-7	borderline	Characterizes yeast URA1 (mitochondrial DHODH homolog) as a fumarate-using cytosolic enzyme and uses rho0 cells as an assay, but the engineering delocalizes a yeast enzyme in mammalian cells rather than being a yeast mitochondrial-engineering method itself.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1038/s44318-024-00183-5	include	Single-cell real-time measurement of mtDNA heteroplasmy dynamics is exactly the kind of assay/measurement needed to engineer and track mtDNA state.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1038/s44318-024-00226-x	include	Tracking mtDNA segregation dynamics directly addresses heteroplasmy segregation, a core mtDNA-state topic relevant to engineering mtDNA inheritance.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1038/s44319-025-00380-1	include	Polymerase gamma exonuclease activity driving mtDNA clearance is directly on-topic for mtDNA maintenance/replication (Mip1 homolog), a method-relevant mechanism even if studied outside yeast.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1038/srep18749	include	Characterizes yeast mitochondrial translation initiation factor Aim23/mIF3, directly part of the mitoribosome/translation apparatus relevant to mitochondrial genetic engineering.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1038/srep26414	include	Identifies Irc3 as a yeast mitochondrial DNA branch migration enzyme, directly relevant to mtDNA recombination/repair machinery.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1042/bsr20150275	include	Biochemical characterization of Abf2 and its fungal HMG-box homologs, the core nucleoid-packaging proteins governing mtDNA maintenance, directly relevant to engineering mtDNA stability/copy number.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1073/pnas.2021053118	include	Chlamydomonas HBD1 was ectopically expressed in yeast Δabf2 mitochondria and complemented nucleoid defects, directly informing Abf2-based mtDNA nucleoid compaction/organization relevant to yeast mitochondrial genome engineering.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1074/mcp.ra119.001839	borderline	An in-organello crosslinking-MS method maps protein-protein interactions in yeast mitochondria (informative about ETC complex structure/chassis biology) but is an analytical proteomics technique, not a genome/organelle engineering method or standard assay from the inclusion list.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1080/15384101.2016.1231288	include	Mgm101 is a Rad52-like mtDNA recombination/repair protein central to mitochondrial genome maintenance, directly relevant to engineering mtDNA.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1080/15476286.2021.1943929	include	Characterizes mtEXO (Dss1/Suv3) RNA turnover shaping mitochondrial mRNA processing/stability and respiratory competence in the yeast Candida albicans, directly informing mitochondrial gene-expression engineering handles that transfer to S. cerevisiae.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1083/jcb.134.6.1375	borderline	Characterizes Hsp78 chaperone's role in mitochondrial proteostasis, respiratory competence, and genome integrity under heat stress, which is chassis biology rather than an engineering method or measurable handle for construction.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1083/jcb.142.3.613	include	Directly addresses mtDNA inheritance/segregation and Abf2p nucleoid protein in rho+/rho0 yeast crosses, core to mtDNA maintenance and transmission engineering.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1083/jcb.144.4.711	include	Mgm1p dynamin-like protein links mitochondrial fusion/morphology machinery to mtDNA maintenance and inheritance in yeast, directly matching the mtDNA-state/inheritance criterion.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1083/jcb.145.2.291	include	Mgm101p is a nucleoid component required for mtDNA repair/maintenance—directly relevant to mtDNA state and nucleoid biology used in engineering contexts.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1083/jcb.151.2.333	borderline	Characterizes mitochondrial fission machinery (Dnm1/Gag3) and links fission loss to mitochondrial genome loss, informative about mtDNA maintenance chassis but not itself an engineering method.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1083/jcb.153.6.1151	include	Tom40 is core TOM channel machinery for mitochondrial protein import, directly relevant to targeting/import engineering.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1083/jcb.200606054	borderline	Characterizes Puf3p-mediated mRNA localization/mitochondrial biogenesis and motility regulation, informative about the chassis but not itself an engineering method or assay tool.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1083/jcb.201007026	include	Coa3/Cox14 regulate COX1 translation via feedback in mitochondria — mitochondrial translational regulation/translational activator biology directly relevant to engineering mitochondrial gene expression.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1083/jcb.201205193	borderline	Uses rho0 cells and mtDNA-gene-replacement strains as tools to study a cell-cycle checkpoint, but the focus is checkpoint signalling biology rather than an mtDNA engineering method itself.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1083/jcb.201801168	include	Directly studies mtDNA copy-number control via DNA polymerase gamma (POLG/Mip1) synthesis and degradation in yeast during starvation, core to mtDNA maintenance handles this project needs.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1083/jcb.201807097	borderline	Describes meiotic regulation of mitochondria-cortex tethering (MECA) dynamics, an indirect mitochondrial morphology/biology mechanism with no genome-engineering, import, or delivery method.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1083/jcb.201808044	borderline	Describes CoQ biosynthetic enzyme assembly and ER-mitochondria contact biology in yeast/human cells, informative about respiratory chain bioenergetics but not itself an engineering method, delivery system, or compartment-specific cofactor measurement tool.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1091/mbc.e11-04-0293	include	Details the Mia40 disulfide relay mechanism controlling mitochondrial intermembrane space import of a dually-localized protein, directly relevant to mitochondrial protein import/targeting machinery.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1091/mbc.e15-04-0222	include	Identifies Mam33 as a Cox1 mitochondrial translational activator, directly informing gene-specific translation control needed for mtDNA-encoded gene expression engineering.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1091/mbc.e15-10-0690	include	Directly addresses heteroplasmy segregation toward homoplasmy via ROS-induced mtDNA concatemer formation, explicitly building on and testing the yeast rolling-circle/concatemer mechanism, which is core mtDNA-state biology relevant to engineering mtDNA inheritance.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1091/mbc.e15-12-0811	borderline	Focuses on COX1 assembly-factor biology and the Mss51 translational-activator feedback loop, which touches mitochondrial translation regulation but is primarily OXPHOS assembly mechanism rather than a transferable engineering method.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1091/mbc.e16-03-0187	borderline	Systems-level study of stress-induced changes in mitochondrial/respirofermentative metabolism informs chassis robustness but reports no engineering method, delivery, assay or manipulable genetic handle.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1091/mbc.e16-11-0775	include	Reports Aep3p-dependent translational activation of a specific mitochondrial gene (ATP8), directly relevant to mitochondrial translation/gene-expression control needed for engineering mtDNA-encoded genes.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1091/mbc.e17-02-0093	borderline	Describes a respiratory supercomplex assembly factor (bioenergetics/OXPHOS assembly), informative about the chassis but not itself a manipulable engineering method or DNA-delivery/import tool.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1091/mbc.e17-04-0239	include	Characterizes yeast mitoribosome subunit function in Cox1 translation/COX assembly, directly informing mitoribosome and mitochondrial translation machinery relevant to engineering mtDNA-encoded expression.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1091/mbc.e17-09-0560	include	Directly compares allotopic (cytosolic) versus native mitochondrial expression of yeast COX2, a core mitochondrial engineering/protein-import method explicitly listed as relevant.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1091/mbc.e17-12-0700	include	Uses yeast mitochondrial translation assays and mtDNA-encoded subunit/copy-number measurements to dissect a translation-dependent regulatory mechanism, which are directly reusable mito-engineering assays.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1091/mbc.e18-06-0356	include	Directly characterizes rho0 cells and adaptation to mtDNA loss, relevant to rho0 discrimination and mtDNA-state biology underlying mitochondrial genome engineering.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1093/dnares/dsab006	borderline	Reports natural circular/linear mtDNA topology variation and candidate genes in a non-Saccharomyces yeast, informative about mtDNA state but not itself an engineering method or manipulable handle.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1093/femsyr/foac007	include	Genetic inactivation of mitochondrial NADH-reoxidation genes and heterologous expression of S. cerevisiae GPD2/GPP1 to shift cytosolic/mitochondrial NADH-NAD+ redox balance is directly analogous to Ndi1/Nde1-type mitochondrial redox engineering that transfers to yeast.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1093/femsyr/foaf062	borderline	Evolutionary engineering and CRISPR/Cas9 reverse-engineering of an antimycin-A (respiratory inhibitor) resistant yeast strain identifies PDR1 drug-efflux mutations, an indirect handle on mitochondrial/respiratory stress rather than a direct mtDNA or organelle engineering method.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1093/g3journal/jkae295	include	Suppressor screen enhancing allotopic expression of COX2 (mitochondrial subunit II) directly reports factors/methods for allotopic expression, a core engineering technique.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1093/genetics/iyae070	borderline	Characterizes a UV-induced mtDNA degradation/repair pathway in S. cerevisiae, informative about mtDNA maintenance but not itself an engineering method or tool.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1093/genetics/iyae124	include	Characterizes PPR proteins controlling mitochondrial mRNA processing/stability and translation of mtDNA-encoded subunits, including a direct S. cerevisiae Aep3 ortholog parallel, informing translational-activator engineering of mitochondrial gene expression.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1093/genetics/iyaf037	include	Reports new Cox2p transmembrane-helix mutations that improve allotopic expression in S. cerevisiae, a direct, named mitochondrial protein-import/targeting engineering method from the inclusion list.	fermlit screen, mtDNA rubric v1 (title pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1093/jmcb/mjac070	include	Studies biparental mixing/inheritance of parental mtDNA using rho0 crosses, qPCR and fission/conjugation-neck dynamics in fission yeast, directly informing heteroplasmy segregation mechanisms that transfer to S. cerevisiae mitochondrial genome engineering.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1093/jxb/erq103	include	A heterologous plant enzyme (OsSPS1) is GFP-localized to mitochondria and functionally complements the yeast coq1 mitochondrial ubiquinone-biosynthesis mutant, a transferable assay for mitochondrial targeting and respiratory cofactor rescue.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1093/molbev/msac228	borderline	Evolutionary/transcriptional cytonuclear coordination study in allopolyploid lager yeast, informative about nuclear-mitochondrial gene regulation but reports no engineering method, assay, or manipulable handle.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1093/molbev/msad061	borderline	Studies evolutionary/fitness effects of mitonuclear genotype combinations under respiratory selection, but is an evolution-biology study rather than a reusable engineering method or measurement tool.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1093/molbev/msx139	include	Reports mitochondrial genome recombination dynamics and biparental transmission in budding yeast, directly relevant to mtDNA recombination/inheritance mechanisms exploited for mitochondrial genome engineering.	fermlit screen, mtDNA rubric v1 (abstract pass)	claude-sonnet-5	model	2026-09-22	yes	
doi:10.1093/molbev/msy221	borderline	Title indicates comparative structural evolution of mitoribosomes across species, informative about mitoribosome architecture but no abstract to confirm any engineering method or yeast relevance.	fermlit screen, mtDNA rubric v1 (abstract pass, no abstract available)	claude-sonnet-5	model	2026-09-22	yes	
