# fermlit verdicts RESTRICTED to publications carrying no mitochondrial or mtDNA
# query family. The classifier asks "is this about making alcohol with a microbe";
# an mtDNA transformation-methods paper is not, and it scores accordingly -- 96% of
# mtdna_methods_yeast and 93% of mtdna_engineering_yeast are excluded. That is the
# rubric answering its own question correctly and the wrong question for phase 1b,
# whose entire subject is that literature. Those verdicts are withheld, not deleted:
# see 2026-09-22-fermlit-verdicts.tsv for the full set and MTDNA_RUBRIC.md for the
# second rubric they need.
publication_id	decision	reason	source	decided_by	decided_by_kind	decided_at	in_atlas	pdf_file
doi:10.1002/cssc.202301739	exclude	Title describes electrochemical hydrogen production and chemical upgrading of isobutanol, not microbial production.	fermlit screen (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1093/femsyr/foad012	include	Title explicitly states improvement of isobutanol production via genetic substitution in yeast	fermlit screen (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1016/j.ymben.2023.09.007	include	Title explicitly states isobutanol production using a biological system in a metabolic engineering journal	fermlit screen (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1016/j.ymben.2021.11.003	include	Engineering Synechococcus to improve production of isobutanol and 2-methyl-1-butanol	fermlit screen (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1093/bbb/zbab115	include	Paper explicitly studies isobutanol tolerance in a production host (Saccharomyces cerevisiae)	fermlit screen (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1093/femsyr/foab012	include	Paper explicitly describes improving isobutanol tolerance and titers via mutagenesis in a microbial host.	fermlit screen (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1007/s10295-020-02281-9	include	Title explicitly states isobutanol production in S. cerevisiae via adaptive laboratory evolution and rational engineering.	fermlit screen (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1016/j.ymben.2018.02.014	include	Protein engineering of a key enzyme for isobutanol production in a cyanobacterium	fermlit screen (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1093/femsyr/fox029	include	Paper addresses a metabolic bottleneck (secretion of intermediate) specifically for isobutanol production in yeast.	fermlit screen (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1016/j.biortech.2017.05.074	borderline	The paper assesses the economic and environmental viability of a biorefinery process for isobutanol production from lignocellulosic biomass, which falls under feedstock/process work but lacks details on microbial production or engineering.	fermlit screen (abstract pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1007/s10295-015-1718-2	include	Paper explicitly details engineering aldehyde oxidoreductases to improve isobutanol production and tolerance to furfural.	fermlit screen (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1016/j.jbiosc.2015.12.015	include	Study of isobutanol tolerance in a production host via experimental evolution and gene knockout	fermlit screen (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1039/c6cc01599a	exclude	Title explicitly describes catalytic conversion of methanol/ethanol to isobutanol, which is a chemical process, not microbial production.	fermlit screen (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1016/j.ymben.2015.07.001	include	Title explicitly describes consolidated bioprocessing of cellulose to isobutanol using a microorganism.	fermlit screen (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1007/s10295-014-1416-5	include	Title explicitly states production of isobutanol using an engineered acetogen biocatalyst.	fermlit screen (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1021/ja5011288	exclude	Paper focuses on isobutanol combustion chemistry and reaction kinetics, not microbial production.	fermlit screen (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1111/1567-1364.12028	include	Title explicitly states isobutanol production by recombinant Saccharomyces cerevisiae from D-xylose.	fermlit screen (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1128/aem.02900-13	include	Paper explicitly studies butanol and isobutanol tolerance in bacteria, a direct inclusion criterion.	fermlit screen (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1016/j.jbiotec.2012.08.008	include	Engineering of alcohol dehydrogenase for improved isobutanol production in Lactococcus lactis	fermlit screen (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1007/s10295-010-0907-2	include	Title explicitly describes engineering the valine biosynthetic pathway to produce isobutanol from glucose.	fermlit screen (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.4161/bbug.2.6.17845	include	Review explicitly covering microbial production of isobutanol in specified bacterial hosts	fermlit screen (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1016/s0005-2736(00)00162-0	exclude	Study focuses on lipid-cholesterol complex crystallization and X-ray analysis, with no link to microbial production or engineering.	fermlit screen (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1002/bit.70150	include	Engineering enzymes for isobutanol production in yeast	fermlit screen (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1007/s13205-022-03340-x	include	Title explicitly states engineered hosts for isobutanol production via UV-induced mutation.	fermlit screen (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1016/j.ymben.2018.12.008	include	Title explicitly states the goal is to maximize isobutanol production rate via enzyme expression engineering.	fermlit screen (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1128/aem.02827-12	include	Title explicitly states metabolic engineering of a microorganism for isobutanol production.	fermlit screen (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1128/aem.02972-10	include	Title explicitly states tailoring Corynebacterium glutamicum for isobutanol production	fermlit screen (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1128/aem.00382-11	include	Title explicitly states metabolic redesign of E. coli for isobutanol production	fermlit screen (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1039/d6dt01350c	exclude	The paper describes a chemical catalytic process (Guerbet reaction using Ruthenium complexes) rather than microbial production.	fermlit screen (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1039/d4dt02142h	exclude	The title describes chemical upgrading using manganese precatalysts, which is a non-biological route.	fermlit screen (title pass)	qwen3.6:27b	model	2026-09-22	yes	
doi:10.1039/d0cp02872j	exclude	Study focuses on isobutanol combustion kinetics and peroxy radicals, which is explicitly excluded as a fuel property/combustion study.	fermlit screen (title pass)	qwen3.6:27b	model	2026-09-22	yes	
